"year","school","conference","association","sport_label","men_revenue","women_revenue","total_revenue"
"2000-2001","Abilene Christian University","Other","NCAA Division II","Basketball",321495,318703,640198
"2000-2001","Abilene Christian University","Other","NCAA Division II","Football",1186130,0,1186130
"2000-2001","Abilene Christian University","Other","NCAA Division II","Non Football-Basketball",1031137,1060354,2091491
"2000-2001","Adams State College","Other","NCAA Division II","Basketball",27725,23370,51095
"2000-2001","Adams State College","Other","NCAA Division II","Football",61489,0,61489
"2000-2001","Adams State College","Other","NCAA Division II","Non Football-Basketball",69761,82798,152559
"2000-2001","Adelphi University","Other","NCAA Division II","Basketball",28821,574,29395
"2000-2001","Adelphi University","Other","NCAA Division II","Non Football-Basketball",21903,10074,31977
"2000-2001","Adrian College","Other","NCAA Division III","Basketball",21000,20000,41000
"2000-2001","Adrian College","Other","NCAA Division III","Football",40500,0,40500
"2000-2001","Adrian College","Other","NCAA Division III","Non Football-Basketball",33375,31548,64923
"2000-2001","Albany State University","Other","NCAA Division II","Basketball",10869,7229,18098
"2000-2001","Albany State University","Other","NCAA Division II","Football",194840,0,194840
"2000-2001","Albany State University","Other","NCAA Division II","Non Football-Basketball",6528,7141,13669
"2000-2001","Albertus Magnus College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Albertus Magnus College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Albion College","Other","NCAA Division III","Basketball",86485,67247,153732
"2000-2001","Albion College","Other","NCAA Division III","Football",271057,0,271057
"2000-2001","Albion College","Other","NCAA Division III","Non Football-Basketball",226458,244998,471456
"2000-2001","Albright College","Other","NCAA Division III","Basketball",84573,51721,136294
"2000-2001","Albright College","Other","NCAA Division III","Football",231931,0,231931
"2000-2001","Albright College","Other","NCAA Division III","Non Football-Basketball",104477,127462,231939
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Basketball",202998,13189,216187
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Football",223765,0,223765
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Non Football-Basketball",1000,0,1000
"2000-2001","Alderson Broaddus College","Other","NCAA Division II","Basketball",19163,14990,34153
"2000-2001","Alderson Broaddus College","Other","NCAA Division II","Non Football-Basketball",49558,37072,86630
"2000-2001","Alfred University","Other","NCAA Division III","Basketball",73474,65603,139077
"2000-2001","Alfred University","Other","NCAA Division III","Football",299239,0,299239
"2000-2001","Alfred University","Other","NCAA Division III","Non Football-Basketball",233236,253971,487207
"2000-2001","Allegheny College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Allegheny College","Other","NCAA Division III","Football",0,0,0
"2000-2001","Allegheny College","Other","NCAA Division III","Non Football-Basketball",5780,2666,8446
"2000-2001","Alma College","Other","NCAA Division III","Basketball",31347,86489,117836
"2000-2001","Alma College","Other","NCAA Division III","Football",72712,0,72712
"2000-2001","Alma College","Other","NCAA Division III","Non Football-Basketball",148156,158963,307119
"2000-2001","Alvernia University","Other","NCAA Division III","Basketball",10185,10210,20395
"2000-2001","Alvernia University","Other","NCAA Division III","Non Football-Basketball",27517,35470,62987
"2000-2001","American University","Other","NCAA Division I-AAA","Basketball",177220,14170,191390
"2000-2001","American University","Other","NCAA Division I-AAA","Non Football-Basketball",22506,11296,33802
"2000-2001","Amherst College","Other","NCAA Division III","Basketball",12741,26608,39349
"2000-2001","Amherst College","Other","NCAA Division III","Football",72909,0,72909
"2000-2001","Amherst College","Other","NCAA Division III","Non Football-Basketball",84863,32258,117121
"2000-2001","Anderson University","Other","NCAA Division II","Basketball",14500,1750,16250
"2000-2001","Anderson University","Other","NCAA Division II","Non Football-Basketball",5750,1695,7445
"2000-2001","Anderson University","Other","NCAA Division III","Basketball",101148,44024,145172
"2000-2001","Anderson University","Other","NCAA Division III","Football",143858,0,143858
"2000-2001","Anderson University","Other","NCAA Division III","Non Football-Basketball",236396,176274,412670
"2000-2001","Angelo State University","Other","NCAA Division II","Basketball",58231,14101,72332
"2000-2001","Angelo State University","Other","NCAA Division II","Football",51102,0,51102
"2000-2001","Angelo State University","Other","NCAA Division II","Non Football-Basketball",4245,6735,10980
"2000-2001","Anna Maria College","Other","NCAA Division III","Basketball",1250,1250,2500
"2000-2001","Anna Maria College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Basketball",286558,7010,293568
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Football",680904,0,680904
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Non Football-Basketball",68015,81809,149824
"2000-2001","Arcadia University","Other","NCAA Division III","Basketball",16518,0,16518
"2000-2001","Arcadia University","Other","NCAA Division III","Non Football-Basketball",18351,0,18351
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Basketball",3232246,319405,3551651
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Football",20048107,0,20048107
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",931001,1014471,1945472
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Basketball",622963,36413,659376
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Football",1364584,0,1364584
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Non Football-Basketball",16390,11175,27565
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Basketball",171336,261662,432998
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Football",295652,0,295652
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Non Football-Basketball",27030,0,27030
"2000-2001","Armstrong Atlantic State University","Other","NCAA Division II","Basketball",0,0,0
"2000-2001","Armstrong Atlantic State University","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2000-2001","Ashland University","Other","NCAA Division II","Basketball",7000,1000,8000
"2000-2001","Ashland University","Other","NCAA Division II","Football",8000,0,8000
"2000-2001","Ashland University","Other","NCAA Division II","Non Football-Basketball",500,500,1000
"2000-2001","Assumption College","Other","NCAA Division II","Basketball",111132,114693,225825
"2000-2001","Assumption College","Other","NCAA Division II","Football",95909,0,95909
"2000-2001","Assumption College","Other","NCAA Division II","Non Football-Basketball",66430,62764,129194
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Basketball",3786239,67337,3853576
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Football",28802492,0,28802492
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",369072,41637,410709
"2000-2001","Augsburg College","Other","NCAA Division III","Basketball",57068,51386,108454
"2000-2001","Augsburg College","Other","NCAA Division III","Football",188584,0,188584
"2000-2001","Augsburg College","Other","NCAA Division III","Non Football-Basketball",508378,259306,767684
"2000-2001","Augusta State University","Other","NCAA Division II","Basketball",50243,22751,72994
"2000-2001","Augusta State University","Other","NCAA Division II","Non Football-Basketball",107256,110031,217287
"2000-2001","Augustana College","Other","NCAA Division II","Basketball",147600,116833,264433
"2000-2001","Augustana College","Other","NCAA Division II","Football",292816,0,292816
"2000-2001","Augustana College","Other","NCAA Division II","Non Football-Basketball",176674,265890,442564
"2000-2001","Augustana College","Other","NCAA Division III","Basketball",3750,1045,4795
"2000-2001","Augustana College","Other","NCAA Division III","Football",17669,0,17669
"2000-2001","Augustana College","Other","NCAA Division III","Non Football-Basketball",32872,10121,42993
"2000-2001","Aurora University","Other","NCAA Division III","Basketball",7131,830,7961
"2000-2001","Aurora University","Other","NCAA Division III","Football",15448,0,15448
"2000-2001","Aurora University","Other","NCAA Division III","Non Football-Basketball",0,525,525
"2000-2001","Austin College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Austin College","Other","NCAA Division III","Football",1000,0,1000
"2000-2001","Austin College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Basketball",193474,76396,269870
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Football",84951,0,84951
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Non Football-Basketball",5967,0,5967
"2000-2001","Averett University","Other","NCAA Division III","Basketball",28506,22523,51029
"2000-2001","Averett University","Other","NCAA Division III","Football",183916,0,183916
"2000-2001","Averett University","Other","NCAA Division III","Non Football-Basketball",86981,71814,158795
"2000-2001","Azusa Pacific University","Other","NCAA Division II","Basketball",923,923,1846
"2000-2001","Azusa Pacific University","Other","NCAA Division II","Football",11368,0,11368
"2000-2001","Azusa Pacific University","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2000-2001","Babson College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Babson College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Baldwin-Wallace College","Other","NCAA Division III","Basketball",137981,111402,249383
"2000-2001","Baldwin-Wallace College","Other","NCAA Division III","Football",332323,0,332323
"2000-2001","Baldwin-Wallace College","Other","NCAA Division III","Non Football-Basketball",413181,432272,845453
"2000-2001","Ball State University","Other","NCAA Division I-A","Basketball",550257,227482,777739
"2000-2001","Ball State University","Other","NCAA Division I-A","Football",950849,0,950849
"2000-2001","Ball State University","Other","NCAA Division I-A","Non Football-Basketball",592133,700538,1292671
"2000-2001","Baptist Bible College and Seminary","Other","NCAA Division III","Basketball",20617,9744,30361
"2000-2001","Baptist Bible College and Seminary","Other","NCAA Division III","Non Football-Basketball",34433,48166,82599
"2000-2001","Bard College","Other","NCAA Division III","Basketball",262,0,262
"2000-2001","Bard College","Other","NCAA Division III","Non Football-Basketball",421,0,421
"2000-2001","Barry University","Other","NCAA Division II","Basketball",1275,970,2245
"2000-2001","Barry University","Other","NCAA Division II","Non Football-Basketball",345,315,660
"2000-2001","Barton College","Other","NCAA Division II","Basketball",162985,129177,292162
"2000-2001","Barton College","Other","NCAA Division II","Non Football-Basketball",272125,227464,499589
"2000-2001","Bates College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Bates College","Other","NCAA Division III","Football",0,0,0
"2000-2001","Bates College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Baylor University","Big 12 Conference","NCAA Division I-A","Basketball",1889624,289595,2179219
"2000-2001","Baylor University","Big 12 Conference","NCAA Division I-A","Football",6049560,0,6049560
"2000-2001","Baylor University","Big 12 Conference","NCAA Division I-A","Non Football-Basketball",575181,228561,803742
"2000-2001","Becker College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Becker College","Other","NCAA Division III","Non Football-Basketball",0,700,700
"2000-2001","Bellarmine University","Other","NCAA Division II","Basketball",272135,301291,573426
"2000-2001","Bellarmine University","Other","NCAA Division II","Non Football-Basketball",352607,407451,760058
"2000-2001","Belmont Abbey College","Other","NCAA Division II","Basketball",8465,6959,15424
"2000-2001","Belmont Abbey College","Other","NCAA Division II","Non Football-Basketball",23917,6992,30909
"2000-2001","Belmont University","Other","NCAA Division I-AAA","Basketball",422500,342132,764632
"2000-2001","Belmont University","Other","NCAA Division I-AAA","Non Football-Basketball",833420,941250,1774670
"2000-2001","Beloit College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Beloit College","Other","NCAA Division III","Football",0,0,0
"2000-2001","Beloit College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Bemidji State University","Other","NCAA Division II","Basketball",174867,168296,343163
"2000-2001","Bemidji State University","Other","NCAA Division II","Football",305252,0,305252
"2000-2001","Bemidji State University","Other","NCAA Division II","Non Football-Basketball",538036,517132,1055168
"2000-2001","Benedict College","Other","NCAA Division II","Basketball",24978,9342,34320
"2000-2001","Benedict College","Other","NCAA Division II","Football",55543,0,55543
"2000-2001","Benedict College","Other","NCAA Division II","Non Football-Basketball",2400,0,2400
"2000-2001","Benedictine University","Other","NCAA Division III","Basketball",36334,30910,67244
"2000-2001","Benedictine University","Other","NCAA Division III","Football",142249,0,142249
"2000-2001","Benedictine University","Other","NCAA Division III","Non Football-Basketball",179618,162598,342216
"2000-2001","Bentley University","Other","NCAA Division II","Basketball",481644,509873,991517
"2000-2001","Bentley University","Other","NCAA Division II","Football",376939,0,376939
"2000-2001","Bentley University","Other","NCAA Division II","Non Football-Basketball",604876,518415,1123291
"2000-2001","Berry College","Other","NCAA Division III","Basketball",7747,397,8144
"2000-2001","Berry College","Other","NCAA Division III","Non Football-Basketball",7687,2187,9874
"2000-2001","Bethany College","Other","NCAA Division III","Basketball",48368,38774,87142
"2000-2001","Bethany College","Other","NCAA Division III","Football",166040,0,166040
"2000-2001","Bethany College","Other","NCAA Division III","Non Football-Basketball",188943,185834,374777
"2000-2001","Bethany Lutheran College","Other","NCAA Division III","Basketball",1485,1485,2970
"2000-2001","Bethany Lutheran College","Other","NCAA Division III","Non Football-Basketball",362,362,724
"2000-2001","Bethel University","Other","NCAA Division III","Basketball",67900,66514,134414
"2000-2001","Bethel University","Other","NCAA Division III","Football",274317,0,274317
"2000-2001","Bethel University","Other","NCAA Division III","Non Football-Basketball",321410,189217,510627
"2000-2001","Bethune-Cookman University","Other","NCAA Division I-AA","Basketball",160579,65079,225658
"2000-2001","Bethune-Cookman University","Other","NCAA Division I-AA","Football",1743492,0,1743492
"2000-2001","Bethune-Cookman University","Other","NCAA Division I-AA","Non Football-Basketball",81462,69318,150780
"2000-2001","Birmingham Southern College","Other","NCAA Division III","Basketball",778803,530995,1309798
"2000-2001","Birmingham Southern College","Other","NCAA Division III","Non Football-Basketball",1308674,1022533,2331207
"2000-2001","Blackburn College","Other","NCAA Division III","Basketball",43362,31859,75221
"2000-2001","Blackburn College","Other","NCAA Division III","Football",129066,0,129066
"2000-2001","Blackburn College","Other","NCAA Division III","Non Football-Basketball",83635,89326,172961
"2000-2001","Bloomfield College","Other","NCAA Division II","Basketball",56796,25311,82107
"2000-2001","Bloomfield College","Other","NCAA Division II","Non Football-Basketball",54412,61450,115862
"2000-2001","Bloomsburg University of Pennsylvania","Other","NCAA Division II","Basketball",80130,45361,125491
"2000-2001","Bloomsburg University of Pennsylvania","Other","NCAA Division II","Football",232547,0,232547
"2000-2001","Bloomsburg University of Pennsylvania","Other","NCAA Division II","Non Football-Basketball",358784,460485,819269
"2000-2001","Bluffton University","Other","NCAA Division III","Basketball",57567,52022,109589
"2000-2001","Bluffton University","Other","NCAA Division III","Football",160117,0,160117
"2000-2001","Bluffton University","Other","NCAA Division III","Non Football-Basketball",92427,136491,228918
"2000-2001","Boise State University","Other","NCAA Division I-A","Basketball",1271229,207067,1478296
"2000-2001","Boise State University","Other","NCAA Division I-A","Football",4061114,0,4061114
"2000-2001","Boise State University","Other","NCAA Division I-A","Non Football-Basketball",268919,603038,871957
"2000-2001","Boston College","Atlantic Coast Conference","NCAA Division I-A","Basketball",2831983,169563,3001546
"2000-2001","Boston College","Atlantic Coast Conference","NCAA Division I-A","Football",10829586,0,10829586
"2000-2001","Boston College","Atlantic Coast Conference","NCAA Division I-A","Non Football-Basketball",2066185,260294,2326479
"2000-2001","Boston University","Other","NCAA Division I-AAA","Basketball",248419,55309,303728
"2000-2001","Boston University","Other","NCAA Division I-AAA","Non Football-Basketball",2203856,391876,2595732
"2000-2001","Bowdoin College","Other","NCAA Division III","Basketball",75164,81532,156696
"2000-2001","Bowdoin College","Other","NCAA Division III","Football",274205,0,274205
"2000-2001","Bowdoin College","Other","NCAA Division III","Non Football-Basketball",634049,672527,1306576
"2000-2001","Bowie State University","Other","NCAA Division II","Basketball",8000,2000,10000
"2000-2001","Bowie State University","Other","NCAA Division II","Football",23000,0,23000
"2000-2001","Bowie State University","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2000-2001","Bowling Green State University","Other","NCAA Division I-A","Basketball",295249,24769,320018
"2000-2001","Bowling Green State University","Other","NCAA Division I-A","Football",924872,0,924872
"2000-2001","Bowling Green State University","Other","NCAA Division I-A","Non Football-Basketball",228211,4976,233187
"2000-2001","Bradley University","Other","NCAA Division I-AAA","Basketball",1555398,34676,1590074
"2000-2001","Bradley University","Other","NCAA Division I-AAA","Non Football-Basketball",65009,15711,80720
"2000-2001","Brandeis University","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Brandeis University","Other","NCAA Division III","Non Football-Basketball",14000,0,14000
"2000-2001","Bridgewater College","Other","NCAA Division III","Basketball",136248,77781,214029
"2000-2001","Bridgewater College","Other","NCAA Division III","Football",283593,0,283593
"2000-2001","Bridgewater College","Other","NCAA Division III","Non Football-Basketball",231119,309302,540421
"2000-2001","Bridgewater State University","Other","NCAA Division III","Basketball",1474,1474,2948
"2000-2001","Bridgewater State University","Other","NCAA Division III","Football",6353,0,6353
"2000-2001","Bridgewater State University","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Brigham Young University","Other","NCAA Division I-A","Basketball",2867268,709232,3576500
"2000-2001","Brigham Young University","Other","NCAA Division I-A","Football",8110995,0,8110995
"2000-2001","Brigham Young University","Other","NCAA Division I-A","Non Football-Basketball",2386190,3496801,5882991
"2000-2001","Brigham Young University-Hawaii","Other","NCAA Division II","Basketball",14494,0,14494
"2000-2001","Brigham Young University-Hawaii","Other","NCAA Division II","Non Football-Basketball",0,3890,3890
"2000-2001","Brown University","Other","NCAA Division I-AA","Basketball",476980,308571,785551
"2000-2001","Brown University","Other","NCAA Division I-AA","Football",1487313,0,1487313
"2000-2001","Brown University","Other","NCAA Division I-AA","Non Football-Basketball",2391244,2295418,4686662
"2000-2001","Bryant University","Other","NCAA Division I-AA","Basketball",56199,64671,120870
"2000-2001","Bryant University","Other","NCAA Division I-AA","Football",233014,0,233014
"2000-2001","Bryant University","Other","NCAA Division I-AA","Non Football-Basketball",242639,240259,482898
"2000-2001","Bucknell University","Other","NCAA Division I-AA","Basketball",705753,534042,1239795
"2000-2001","Bucknell University","Other","NCAA Division I-AA","Football",2716241,0,2716241
"2000-2001","Bucknell University","Other","NCAA Division I-AA","Non Football-Basketball",1752983,2389597,4142580
"2000-2001","Buena Vista University","Other","NCAA Division III","Basketball",68180,55345,123525
"2000-2001","Buena Vista University","Other","NCAA Division III","Football",211518,0,211518
"2000-2001","Buena Vista University","Other","NCAA Division III","Non Football-Basketball",222918,202709,425627
"2000-2001","Butler University","Other","NCAA Division I-AA","Basketball",528065,40497,568562
"2000-2001","Butler University","Other","NCAA Division I-AA","Football",82050,0,82050
"2000-2001","Butler University","Other","NCAA Division I-AA","Non Football-Basketball",77330,38240,115570
"2000-2001","Cabrini College","Other","NCAA Division III","Basketball",1500,500,2000
"2000-2001","Cabrini College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Caldwell College","Other","NCAA Division II","Basketball",4420,2529,6949
"2000-2001","Caldwell College","Other","NCAA Division II","Non Football-Basketball",0,200,200
"2000-2001","California Institute of Technology","Other","NCAA Division III","Basketball",36287,30987,67274
"2000-2001","California Institute of Technology","Other","NCAA Division III","Non Football-Basketball",156471,74610,231081
"2000-2001","California Lutheran University","Other","NCAA Division III","Basketball",103559,76839,180398
"2000-2001","California Lutheran University","Other","NCAA Division III","Football",239070,0,239070
"2000-2001","California Lutheran University","Other","NCAA Division III","Non Football-Basketball",274216,235673,509889
"2000-2001","California Polytechnic State University-San Luis Obispo","Other","NCAA Division I-AA","Basketball",148974,13400,162374
"2000-2001","California Polytechnic State University-San Luis Obispo","Other","NCAA Division I-AA","Football",116805,0,116805
"2000-2001","California Polytechnic State University-San Luis Obispo","Other","NCAA Division I-AA","Non Football-Basketball",64700,43499,108199
"2000-2001","California State Polytechnic University-Pomona","Other","NCAA Division II","Basketball",244721,292872,537593
"2000-2001","California State Polytechnic University-Pomona","Other","NCAA Division II","Non Football-Basketball",506564,453504,960068
"2000-2001","California State University-Bakersfield","Other","NCAA Division I-AAA","Basketball",569677,219658,789335
"2000-2001","California State University-Bakersfield","Other","NCAA Division I-AAA","Non Football-Basketball",656186,981583,1637769
"2000-2001","California State University-Chico","Other","NCAA Division II","Basketball",207714,237705,445419
"2000-2001","California State University-Chico","Other","NCAA Division II","Non Football-Basketball",542122,481851,1023973
"2000-2001","California State University-Dominguez Hills","Other","NCAA Division II","Basketball",131826,131690,263516
"2000-2001","California State University-Dominguez Hills","Other","NCAA Division II","Non Football-Basketball",216853,262022,478875
"2000-2001","California State University-East Bay","Other","NCAA Division II","Basketball",99256,82904,182160
"2000-2001","California State University-East Bay","Other","NCAA Division II","Non Football-Basketball",205185,379531,584716
"2000-2001","California State University-Fresno","Other","NCAA Division I-A","Basketball",3151044,29145,3180189
"2000-2001","California State University-Fresno","Other","NCAA Division I-A","Football",4449753,0,4449753
"2000-2001","California State University-Fresno","Other","NCAA Division I-A","Non Football-Basketball",631441,234186,865627
"2000-2001","California State University-Fullerton","Other","NCAA Division I-AAA","Basketball",439369,302708,742077
"2000-2001","California State University-Fullerton","Other","NCAA Division I-AAA","Non Football-Basketball",1031658,1169605,2201263
"2000-2001","California State University-Long Beach","Other","NCAA Division I-AAA","Basketball",470373,257613,727986
"2000-2001","California State University-Long Beach","Other","NCAA Division I-AAA","Non Football-Basketball",703898,842966,1546864
"2000-2001","California State University-Los Angeles","Other","NCAA Division II","Basketball",329129,194856,523985
"2000-2001","California State University-Los Angeles","Other","NCAA Division II","Non Football-Basketball",435327,521690,957017
"2000-2001","California State University-Northridge","Other","NCAA Division I-AAA","Basketball",263660,13536,277196
"2000-2001","California State University-Northridge","Other","NCAA Division I-AAA","Football",185097,0,185097
"2000-2001","California State University-Northridge","Other","NCAA Division I-AAA","Non Football-Basketball",115806,109933,225739
"2000-2001","California State University-Sacramento","Other","NCAA Division I-AA","Basketball",210805,153208,364013
"2000-2001","California State University-Sacramento","Other","NCAA Division I-AA","Football",470420,0,470420
"2000-2001","California State University-Sacramento","Other","NCAA Division I-AA","Non Football-Basketball",341834,643701,985535
"2000-2001","California State University-San Bernardino","Other","NCAA Division II","Basketball",211818,169225,381043
"2000-2001","California State University-San Bernardino","Other","NCAA Division II","Non Football-Basketball",210264,242463,452727
"2000-2001","California State University-Stanislaus","Other","NCAA Division II","Basketball",8201,5710,13911
"2000-2001","California State University-Stanislaus","Other","NCAA Division II","Non Football-Basketball",507,1287,1794
"2000-2001","California University of Pennsylvania","Other","NCAA Division II","Basketball",319604,283233,602837
"2000-2001","California University of Pennsylvania","Other","NCAA Division II","Football",505090,0,505090
"2000-2001","California University of Pennsylvania","Other","NCAA Division II","Non Football-Basketball",270538,707170,977708
"2000-2001","Calvin College","Other","NCAA Division III","Basketball",38049,40801,78850
"2000-2001","Calvin College","Other","NCAA Division III","Non Football-Basketball",179118,212424,391542
"2000-2001","Cameron University","Other","NCAA Division II","Basketball",181245,170514,351759
"2000-2001","Cameron University","Other","NCAA Division II","Non Football-Basketball",317269,296456,613725
"2000-2001","Campbell University","Other","NCAA Division I-AA","Basketball",251543,71286,322829
"2000-2001","Campbell University","Other","NCAA Division I-AA","Non Football-Basketball",90680,62076,152756
"2000-2001","Canisius College","Other","NCAA Division I-AAA","Basketball",878984,591087,1470071
"2000-2001","Canisius College","Other","NCAA Division I-AAA","Football",310595,0,310595
"2000-2001","Canisius College","Other","NCAA Division I-AAA","Non Football-Basketball",844421,732303,1576724
"2000-2001","Capital University","Other","NCAA Division III","Basketball",83363,87652,171015
"2000-2001","Capital University","Other","NCAA Division III","Football",193668,0,193668
"2000-2001","Capital University","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Carleton College","Other","NCAA Division III","Basketball",102043,77367,179410
"2000-2001","Carleton College","Other","NCAA Division III","Football",187789,0,187789
"2000-2001","Carleton College","Other","NCAA Division III","Non Football-Basketball",369426,418257,787683
"2000-2001","Carnegie Mellon University","Other","NCAA Division III","Basketball",172964,141636,314600
"2000-2001","Carnegie Mellon University","Other","NCAA Division III","Football",503624,0,503624
"2000-2001","Carnegie Mellon University","Other","NCAA Division III","Non Football-Basketball",434863,409028,843891
"2000-2001","Carroll University","Other","NCAA Division III","Basketball",39513,48749,88262
"2000-2001","Carroll University","Other","NCAA Division III","Football",150063,0,150063
"2000-2001","Carroll University","Other","NCAA Division III","Non Football-Basketball",112749,140818,253567
"2000-2001","Carson-Newman College","Other","NCAA Division II","Basketball",9765,3848,13613
"2000-2001","Carson-Newman College","Other","NCAA Division II","Football",50644,0,50644
"2000-2001","Carson-Newman College","Other","NCAA Division II","Non Football-Basketball",16865,12907,29772
"2000-2001","Carthage College","Other","NCAA Division III","Basketball",3980,1117,5097
"2000-2001","Carthage College","Other","NCAA Division III","Football",1688,0,1688
"2000-2001","Carthage College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Case Western Reserve University","Other","NCAA Division III","Basketball",96000,104000,200000
"2000-2001","Case Western Reserve University","Other","NCAA Division III","Football",307045,0,307045
"2000-2001","Case Western Reserve University","Other","NCAA Division III","Non Football-Basketball",588748,438737,1027485
"2000-2001","Castleton State College","Other","NCAA Division III","Basketball",2200,1500,3700
"2000-2001","Castleton State College","Other","NCAA Division III","Non Football-Basketball",0,400,400
"2000-2001","Catawba College","Other","NCAA Division II","Basketball",57427,44739,102166
"2000-2001","Catawba College","Other","NCAA Division II","Football",167453,0,167453
"2000-2001","Catawba College","Other","NCAA Division II","Non Football-Basketball",110479,101950,212429
"2000-2001","Catholic University of America","Other","NCAA Division III","Basketball",40750,18750,59500
"2000-2001","Catholic University of America","Other","NCAA Division III","Football",69000,0,69000
"2000-2001","Catholic University of America","Other","NCAA Division III","Non Football-Basketball",73728,84468,158196
"2000-2001","Cazenovia College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Cazenovia College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Cedarville University","Other","NCAA Division II","Basketball",35141,6639,41780
"2000-2001","Cedarville University","Other","NCAA Division II","Non Football-Basketball",15447,30126,45573
"2000-2001","Centenary College of Louisiana","Other","NCAA Division III","Basketball",294081,22330,316411
"2000-2001","Centenary College of Louisiana","Other","NCAA Division III","Non Football-Basketball",306151,65710,371861
"2000-2001","Central College","Other","NCAA Division III","Basketball",10552,9784,20336
"2000-2001","Central College","Other","NCAA Division III","Football",100426,0,100426
"2000-2001","Central College","Other","NCAA Division III","Non Football-Basketball",39341,139735,179076
"2000-2001","Central Connecticut State University","Other","NCAA Division I-AA","Basketball",56413,43148,99561
"2000-2001","Central Connecticut State University","Other","NCAA Division I-AA","Football",30014,0,30014
"2000-2001","Central Connecticut State University","Other","NCAA Division I-AA","Non Football-Basketball",15223,1050,16273
"2000-2001","Central Michigan University","Other","NCAA Division I-A","Basketball",880878,673314,1554192
"2000-2001","Central Michigan University","Other","NCAA Division I-A","Football",2640062,0,2640062
"2000-2001","Central Michigan University","Other","NCAA Division I-A","Non Football-Basketball",1198558,2131177,3329735
"2000-2001","Central State University","Other","NCAA Division II","Basketball",230,0,230
"2000-2001","Central State University","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2000-2001","Central Washington University","Other","NCAA Division II","Basketball",282001,157736,439737
"2000-2001","Central Washington University","Other","NCAA Division II","Football",655716,0,655716
"2000-2001","Central Washington University","Other","NCAA Division II","Non Football-Basketball",171842,434416,606258
"2000-2001","Centre College","Other","NCAA Division III","Basketball",66777,58470,125247
"2000-2001","Centre College","Other","NCAA Division III","Football",186878,0,186878
"2000-2001","Centre College","Other","NCAA Division III","Non Football-Basketball",242296,271944,514240
"2000-2001","Chadron State College","Other","NCAA Division II","Basketball",143762,108596,252358
"2000-2001","Chadron State College","Other","NCAA Division II","Football",485010,0,485010
"2000-2001","Chadron State College","Other","NCAA Division II","Non Football-Basketball",120023,132238,252261
"2000-2001","Chaminade University of Honolulu","Other","NCAA Division II","Basketball",435904,0,435904
"2000-2001","Chaminade University of Honolulu","Other","NCAA Division II","Non Football-Basketball",86720,269153,355873
"2000-2001","Chapman University","Other","NCAA Division III","Basketball",94800,73900,168700
"2000-2001","Chapman University","Other","NCAA Division III","Football",203480,0,203480
